Nombre,EjeMayor,PeriodoDias,Excentricidad
Kepler-107_d,0.0780099,7.958203,
WASP-14_b,0.0367693,2.243752,0.091
Kepler-50_b,0.0825598,7.8125124,
NN_Ser_d,3.70596,2605,0.05
Kepler-20_b,0.0453704,3.6961219,0
HAT-P-27_b,0.0399488,3.039577,0
Kepler-181_b,0.0419466,3.137873,
HD_116029_b,1.64869,670,0
Kepler-207_b,0.0269045,1.611865,
HD_219828_b,0.0515012,3.8334999,0
Kepler-11_c,0.106909,13.0241,0.0256125
HD_1237_b,0.494668,133.71001,0.511
WASP-21_b,0.0521087,4.322482,0
Kepler-284_c,0.219317,37.514456,
Kepler-186_c,0.0574114,7.267302,0.03
HD_4308_b,0.119192,15.56,0
Kepler-239_b,0.101225,11.763051,
Kepler-174_b,0.113583,13.98179,
Kepler-224_d,0.0988375,11.349393,
Kepler-389_c,0.116434,14.51143,
Kepler-254_c,0.104915,12.412183,
Kepler-236_c,0.162691,23.968127,
WASP-25_b,0.0473714,3.764825,0
Kepler-186_d,0.0860831,13.342996,0.03
HD_24040_b,4.92406,3668,0.04
Kepler-359_c,0.292189,57.68802,
Kepler-211_c,0.0649112,6.04045,
Kepler-294_c,0.0690438,6.6264,
Kepler-263_c,0.256083,47.332773,
Kepler-349_b,0.0641159,5.929778,
HD_200964_b,1.64347,613.8,0.04
HD_147018_b,0.238855,44.236,0.4686
HD_218566_b,0.687282,225.7,0.3
HD_45364_b,0.68156,226.93,0.1684
Kepler-361_b,0.081426,8.486616,
Kepler-318_c,0.101523,11.815007,
Kepler-372_b,0.0705863,6.849692,
Kepler-197_e,0.168262,25.209715,
HD_141937_b,1.50087,653.21997,0.41
Kepler-405_c,0.187804,29.726682,
Kepler-104_d,0.271796,51.755394,
Kepler-26_d,0.0454914,3.543919,
Kepler-159_b,0.0916828,10.139623,
HD_156668_b,0.0499846,4.6455,0
MOA-2009-BLG-387L_b,1.76808,1970,
Kepler-32_f,0.0130732,0.74296,0
WASP-103_b,0.0198682,0.925542,0
Kepler-221_e,0.136253,18.369917,
Kepler-256_c,0.0441473,3.38802,
GJ_649_b,1.13179,598.3,0.3
Kepler-276_b,0.114376,14.12841,
Kepler-264_c,0.52792,140.101261,
HD_132406_b,1.98227,974,0.34
Kepler-143_b,0.124306,16.007583,
Kepler-189_c,0.144846,20.134866,
HD_38529_c,3.6002,2146.0503,0.355094
Kepler-62_b,0.0552794,5.714932,0.0707107
Kepler-281_b,0.117153,14.646008,
Kepler-196_c,0.256426,47.427737,
Kepler-238_c,0.0657332,6.155557,
Kepler-49_c,0.07889,10.9129343,
Kepler-55_c,0.202122,42.1516418,
WASP-19_b,0.0163152,0.78884,0.0046
Kepler-310_d,0.401368,92.876125,
Kepler-204_c,0.170262,25.660593,
Kepler-26_b,0.0902469,12.282356,0
Kepler-374_c,0.0432285,3.282807,
Kepler-395_b,0.0719854,7.054346,
HD_126614_A_b,2.36847,1244,0.41
Kepler-80_e,0.0544864,4.645387,
Kepler-83_d,0.0585134,5.169796,
Kepler-167_b,0.0524957,4.393147,
Kepler-295_d,0.204929,33.884054,
Kepler-337_b,0.043316,3.292781,
HD_177830_b,1.13872,410.1,0.096
Kepler-226_d,0.0789926,8.109044,
HD_38283_b,1.02382,363.2,0.41
Kepler-386_b,0.104341,12.31043,
HD_217786_b,2.3791,1319,0.4
Kepler-363_c,0.0752686,7.542427,
Kepler-24_d,0.0513038,4.244384,
HD_32518_b,0.595162,157.54,0.01
Kepler-402_c,0.0655142,6.124821,
WASP-18_b,0.0201401,0.9414529,0.00848
CoRoT-6_b,0.0854177,8.886593,0
Kepler-127_c,0.186396,29.393195,
Kepler-203_c,0.0600193,5.370647,
HD_73267_b,2.19849,1260,0.256
HD_147513_b,1.30958,528.40002,0.26
HD_72659_b,4.75375,3658,0.22
BD_+14_4559_b,0.775866,268.94,0.29
Kepler-79_b,0.114456,13.485,
Kepler-202_b,0.0498841,4.069427,
HD_197037_b,2.07477,1035.7,0.22
HD_70642_b,3.18072,2068,0.034
